header.poType,header.purchaseOrderNumber,header.receivedDate,header.sellerContactInfo.companyName,header.status,header.totalAmountDue
Standard,GHQA0000008,Mon Sep 28 01:35:28 EDT 2015,Luxelite LLC,CANCEL_PENDING,137.0
Standard,GHQA0000013,Tue Sep 29 15:35:56 EDT 2015,Luxelite LLC,RECEIVE_FAILED,277.0
Standard,GHQA0000010,Mon Sep 28 17:14:52 EDT 2015,Luxelite LLC,CANCEL_PENDING,240.0
Standard,GHQA0000015,Mon Oct 05 11:45:49 EDT 2015,Luxelite LLC,RECEIVE_FAILED,90.0
Standard,GHQA0000011,Tue Sep 29 15:10:49 EDT 2015,Luxelite LLC,RECEIVE_FAILED,2023.0
Standard,GHQA0000007,Mon Sep 28 01:16:32 EDT 2015,Luxelite LLC,RECEIVE_FAILED,90.0
Standard,GHQA0000014,Thu Oct 01 09:17:48 EDT 2015,Luxelite LLC,RECEIVE_FAILED,300.0
Standard,GHQA0000009,Mon Sep 28 02:55:14 EDT 2015,Luxelite LLC,RECEIVE_FAILED,137.0
Standard,GHQA0000012,Tue Sep 29 15:29:06 EDT 2015,Luxelite LLC,RECEIVE_FAILED,2023.0
Standard,GQA10000020,Thu Oct 29 05:43:44 EDT 2015,Luxelite LLC,CANCEL_PENDING,90.0
Standard,GQA10000016,Fri Oct 16 12:02:06 EDT 2015,Luxelite LLC,RECEIVE_FAILED,1560.0
Replenishment,GQA10000018,Fri Oct 16 13:09:45 EDT 2015,Luxelite LLC,RECEIVE_FAILED,137.0
Standard,GQA10000017,Fri Oct 16 12:58:28 EDT 2015,Luxelite LLC,RECEIVE_FAILED,274.0
Replenishment,GQA10000021,Mon Nov 02 11:54:57 EST 2015,Luxelite LLC,CANCEL_PENDING,90.0
Standard,GQA10000022,Fri Nov 06 13:51:41 EST 2015,Luxelite LLC,CANCEL_PENDING,90.0
Blanket,GQA10000023,Tue Nov 10 11:21:16 EST 2015,Luxelite LLC,CANCEL_PENDING,90.0
Standard,GQA100000026,Wed Nov 11 07:33:21 EST 2015,Luxelite LLC,CANCELED,44.0
Blanket,GQA10000024,Tue Nov 10 16:31:51 EST 2015,Luxelite LLC,CANCEL_PENDING,318.0
Blanket,GQA10000025,Tue Nov 10 16:34:57 EST 2015,Luxelite LLC,CANCEL_PENDING,274.0
Standard,GQA10000121,Tue Jan 05 08:57:33 EST 2016,Luxelite LLC,RECEIVED,181.0
Standard,GQA10000122,Tue Jan 05 08:58:58 EST 2016,Luxelite LLC,RECEIVE_FAILED,227.0
Standard,GQA10000614,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000613,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000125,Wed Jan 06 02:22:25 EST 2016,Luxelite LLC,RECEIVED,294.0
Standard,GQA10000128,Wed Jan 06 09:31:59 EST 2016,Luxelite LLC,CANCELED,0.0
Standard,GQA10000127,Wed Jan 06 09:29:22 EST 2016,Luxelite LLC,CANCELED,0.0
Standard,GQA10000132,Thu Jan 07 08:39:11 EST 2016,Luxelite LLC,CANCELED,0.0
Standard,GQA10000129,Wed Jan 06 09:33:25 EST 2016,Luxelite LLC,CANCELED,0.0
Standard,GQA10000130,Wed Jan 06 11:09:58 EST 2016,Luxelite LLC,CANCELED,0.0
Standard,GQA10000179,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000133,Fri Jan 08 06:03:57 EST 2016,Luxelite LLC,RECEIVED,227.0
Standard,GQA10000134,Fri Jan 08 06:05:36 EST 2016,Luxelite LLC,RECEIVED,227.0
Standard,GQA10000135,Fri Jan 08 06:08:07 EST 2016,Luxelite LLC,RECEIVED,227.0
Standard,GQA10000420,Fri Feb 12 05:36:10 EST 2016,Luxelite LLC,RECEIVED,90.0
Standard,GQA10000933,Thu Mar 03 13:29:46 EST 2016,Luxelite LLC,RECEIVED,90.0
Standard,GQA10000137,Fri Jan 08 12:52:31 EST 2016,Luxelite LLC,RELEASED,124.0
Standard,GQA10000180,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000181,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000182,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000183,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000184,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000185,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000186,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000187,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000139,Mon Jan 11 12:50:51 EST 2016,Luxelite LLC,RECEIVED,2710.0
Standard,GQA10000140,Mon Jan 11 18:55:44 EST 2016,Luxelite LLC,RECEIVED,134.0
Replenishment,GQA10000141,Tue Jan 12 01:57:01 EST 2016,Luxelite LLC,CANCELED,243.9
Standard,GQA10000142,Tue Jan 12 02:03:45 EST 2016,Luxelite LLC,RECEIVED,271.0
Standard,GQA10000143,Tue Jan 12 09:28:51 EST 2016,Luxelite LLC,CANCELED,271.0
Standard,GQA10000145,Tue Jan 12 09:32:34 EST 2016,Luxelite LLC,CANCELED,271.0
Standard,GQA10000146,Tue Jan 12 09:34:28 EST 2016,Luxelite LLC,CANCELED,271.0
Standard,GQA10000147,Tue Jan 12 09:35:59 EST 2016,Luxelite LLC,RECEIVED,181.0
Standard,GQA10000148,Tue Jan 12 09:37:34 EST 2016,Luxelite LLC,CANCELED,0.0
Standard,GQA10000149,Tue Jan 12 09:39:18 EST 2016,Luxelite LLC,CANCELED,181.0
Standard,GQA10000150,Tue Jan 12 09:40:11 EST 2016,Luxelite LLC,CANCELED,181.0
Standard,GQA10000151,Tue Jan 12 09:42:12 EST 2016,Luxelite LLC,CANCELED,0.0
Standard,GQA10000156,Wed Jan 13 07:00:28 EST 2016,Luxelite LLC,RECEIVE_FAILED,90.0
Standard,GQA10000152,Wed Jan 13 00:30:26 EST 2016,Luxelite LLC,RECEIVE_FAILED,134.0
Standard,GQA10000153,Wed Jan 13 00:46:57 EST 2016,Luxelite LLC,CANCELED,1.0
Standard,GQA10000157,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000158,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000159,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000160,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000161,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000162,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000163,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000164,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000155,Wed Jan 13 05:11:45 EST 2016,Luxelite LLC,CANCELED,0.0
Standard,GQA10000154,Wed Jan 13 05:11:05 EST 2016,Luxelite LLC,RECEIVE_FAILED,49634.65
Standard,GQA10000165,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000166,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000167,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000168,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000169,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000170,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000171,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000172,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000173,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000174,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000175,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000176,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000177,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000178,Wed Jan 13 07:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000612,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000611,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000610,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000609,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000608,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000607,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000606,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000605,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000604,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000589,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000342,Thu Feb 11 13:01:08 EST 2016,Luxelite LLC,RECEIVE_FAILED,44.0
Standard,GQA10000550,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000584,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000339,Thu Feb 11 13:01:08 EST 2016,Luxelite LLC,CANCEL_PENDING,44.0
Standard,GQA10000549,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000559,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000516,Thu Feb 18 10:35:14 EST 2016,Luxelite LLC1,RECEIVED,44.0
Standard,GQA10000548,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000586,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000547,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000546,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000587,Thu Feb 18 21:02:08 EST 2016,Luxelite LLC,RECEIVED,44.0
Standard,GQA10000330,Thu Feb 11 13:01:08 EST 2016,Luxelite LLC,CANCEL_PENDING,44.0
Standard,GQA10000545,Thu Feb 18 20:01:08 EST 2016,Luxelite LLC,RECEIVED,44.0
